KEY_GAP_TIME_D8,MULTIPLE_KEYS_DOWN_D6,MOUSE_SPEED_D8,MOUSE_DIR_D8,MOUSE_GAP_D5,MOUSE_GAP_D4,MOUSE_SPEED_D4,MOUSE_DDIR_D2,MOUSE_SPEED_D4,MOUSE_GAP_D9,KEY_COUNT,MULTIPLE_KEYS_UP_D1,KEY_TIME,KEY_TIME,MULTIPLE_KEYS_UP,MOUSE_GAP_D3,MANY_KEYS_BY_KEY_PRESSED,MOUSE_DIR_D5,MOUSE_DIR_D5,MOUSE_DIST_D6,GAP_SD,MOUSE_DIST_D5,MOUSE_DIST_D5,MOUSE_GAP_D3,KEY_TIME_D9,MOUSE_GAP_D1,MOUSE_SPEED_D5,MOUSE_DIR_D1,MULTIPLE_KEYS_DOWN,MULTIPLE_KEYS_UP_D7
0.562,4.0,55.548,213.327,0.094,0.062,0.0,0.006,0.0,13.297,506.0,0.0,0.1,0.1,2.0,0.01,0.022,112.237,112.237,0.0,0.965,0.0,0.0,0.01,0.124,0.002,0.0,32.695,5.0,2.0
0.527,4.0,65.653,213.563,0.094,0.083,0.0,0.005,0.0,13.297,533.0,0.0,0.1,0.1,0.0,0.016,0.021,112.237,112.237,0.0,0.941,0.0,0.0,0.016,0.124,0.002,0.0,31.875,5.0,2.0
0.527,4.0,79.894,213.327,0.094,0.083,0.0,0.005,0.0,13.297,559.0,0.0,0.1,0.1,0.0,0.01,0.02,112.237,112.237,0.0,0.923,0.0,0.0,0.01,0.124,0.002,0.0,31.875,5.0,2.0
0.527,4.0,79.894,213.327,0.094,0.083,0.0,0.005,0.0,13.297,597.0,0.0,0.1,0.1,0.0,0.01,0.018,112.237,112.237,0.0,0.903,0.0,0.0,0.01,0.124,0.002,0.0,31.875,6.0,2.0
0.527,4.0,79.894,213.327,0.094,0.083,0.0,0.005,0.0,13.297,636.0,0.0,0.1,0.1,2.0,0.01,0.017,112.237,112.237,0.0,0.876,0.0,0.0,0.01,0.124,0.002,0.0,31.875,5.0,2.0
0.527,4.0,79.894,213.563,0.094,0.062,0.0,0.004,0.0,13.297,655.0,0.0,0.1,0.1,1.0,0.01,0.017,112.237,112.237,0.0,0.869,0.0,0.0,0.01,0.124,0.002,0.0,31.875,4.0,2.0
0.527,4.0,79.894,213.563,0.094,0.062,0.0,0.004,0.0,13.297,696.0,0.0,0.1,0.1,0.0,0.01,0.016,112.237,112.237,0.0,0.845,0.0,0.0,0.01,0.124,0.002,0.0,31.875,5.0,2.0
0.527,4.0,79.894,213.563,0.094,0.062,0.0,0.004,0.0,13.297,742.0,0.0,0.1,0.1,1.0,0.01,0.015,112.237,112.237,0.0,0.819,0.0,0.0,0.01,0.124,0.002,0.0,31.875,5.0,2.0
0.527,5.0,79.894,214.586,0.094,0.083,0.0,0.004,0.0,13.297,763.0,0.0,0.1,0.1,2.0,0.01,0.014,112.237,112.237,0.0,0.818,0.0,0.0,0.01,0.124,0.002,0.0,32.695,6.0,2.0
0.527,5.0,79.894,214.586,0.094,0.083,0.0,0.004,0.0,13.297,802.0,0.0,0.1,0.1,2.0,0.01,0.014,112.237,112.237,0.0,0.798,0.0,0.0,0.01,0.124,0.002,0.0,32.695,6.0,2.0
0.493,5.0,79.894,214.586,0.094,0.083,0.0,0.004,0.0,14.609,835.0,0.0,0.1,0.1,1.0,0.016,0.013,112.237,112.237,0.0,0.785,0.0,0.0,0.016,0.124,0.002,0.0,32.695,6.0,2.0
0.493,5.0,79.894,214.586,0.094,0.083,0.0,0.004,0.0,14.609,881.0,0.0,0.1,0.1,1.0,0.016,0.012,112.237,112.237,0.0,0.765,0.0,0.0,0.016,0.124,0.002,0.0,32.695,6.0,2.0
0.488,5.0,86.02,214.586,0.11,0.083,0.0,0.004,0.0,17.32,919.0,0.0,0.1,0.1,0.0,0.016,0.012,112.237,112.237,0.0,0.75,0.0,0.0,0.016,0.124,0.002,0.0,32.695,5.0,2.0
0.488,5.0,79.894,214.586,0.094,0.083,0.0,0.004,0.0,14.609,951.0,0.0,0.1,0.1,1.0,0.016,0.012,112.237,112.237,0.0,0.74,0.0,0.0,0.016,0.124,0.002,0.0,32.695,6.0,2.0
0.488,5.0,79.894,214.586,0.094,0.083,0.0,0.004,0.0,14.609,988.0,0.0,0.1,0.1,0.0,0.016,0.011,112.237,112.237,0.0,0.726,0.0,0.0,0.016,0.124,0.002,0.0,32.695,6.0,2.0
0.488,5.0,85.5,215.023,0.094,0.083,0.0,0.003,0.0,17.32,1003.0,0.0,0.1,0.1,0.0,0.016,0.011,112.237,112.237,0.0,0.721,0.0,0.0,0.016,0.122,0.002,0.0,32.695,5.0,2.0
0.488,5.0,79.894,215.023,0.11,0.083,0.0,0.003,0.0,17.32,1028.0,0.0,0.1,0.1,0.0,0.016,0.011,110.041,110.041,0.0,0.739,0.0,0.0,0.016,0.124,0.002,0.0,32.695,5.0,2.0
