A_KEY_TIME_MEAN,BOTH_DEV_CC_COUNT,GAP_D1,GAP_D5,GAP_SD,KEY_COUNT,KEY_TIME,MANY_KEYS_BY_KEY_PRESSED,MOUSE_COUNT,MOUSE_DDIR_D1,MOUSE_DDIR_D2,MOUSE_DDIR_D3,MOUSE_DIR_D1,MOUSE_DIR_D5,MOUSE_DIR_D6,MOUSE_DIST_D1,MOUSE_DIST_D2,MOUSE_DIST_D3,MOUSE_DIST_D4,MOUSE_DIST_D5,MOUSE_DIST_D6,MOUSE_DIST_D7,MOUSE_GAP_D1,MOUSE_GAP_D2,MOUSE_GAP_D3,MOUSE_SPEED_D1,MOUSE_SPEED_D2,MOUSE_SPEED_D3,MOUSE_SPEED_D5,MULTIPLE_KEYS_DOWN,MULTIPLE_KEYS_DOWN_D1,MULTIPLE_KEYS_UP,MULTIPLE_KEYS_UP_D1
0.1,0.145,0.015,0.079,10.142,1816.0,0.1,0.187,513,0.113,0.119,0.288,48.366,110.993,115.907,0.0,0.0,0.0,0.0,0.0,0.0,52.01,0.0,0.001,0.002,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0
0.1,0.152,0.015,0.079,10.029,1857.0,0.1,0.198,522,0.116,0.118,0.28,48.366,110.993,115.907,0.0,0.0,0.0,0.0,0.0,0.0,52.01,0.0,0.001,0.002,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0
0.099,0.15,0.015,0.079,9.914,1900.0,0.1,0.204,525,0.123,0.117,0.278,48.366,110.925,115.907,0.0,0.0,0.0,0.0,0.0,0.0,52.01,0.0,0.001,0.002,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0
0.099,0.149,0.015,0.079,9.804,1943.0,0.1,0.2,528,0.122,0.116,0.276,48.366,110.993,115.907,0.0,0.0,0.0,0.0,0.0,0.0,52.01,0.0,0.001,0.002,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0
0.1,0.147,0.015,0.079,9.761,1960.0,0.1,0.198,537,0.12,0.12,0.271,48.366,110.925,115.907,0.0,0.0,0.0,0.0,0.0,0.0,52.01,0.001,0.001,0.002,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0
0.099,0.153,0.015,0.079,9.687,1990.0,0.1,0.195,547,0.126,0.121,0.263,46.332,110.925,115.907,0.0,0.0,0.0,0.0,0.0,0.0,52.01,0.001,0.001,0.002,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0
0.099,0.15,0.015,0.079,9.591,2030.0,0.1,0.191,556,0.137,0.119,0.263,46.332,110.925,115.907,0.0,0.0,0.0,0.0,0.0,0.0,52.01,0.001,0.001,0.002,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0
0.099,0.146,0.015,0.079,9.553,2047.0,0.1,0.19,573,0.134,0.122,0.261,46.146,110.925,115.907,0.0,0.0,0.0,0.0,0.0,0.0,52.01,0.001,0.001,0.002,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0
0.085,0.0,0.066,0.097,0.381,44.0,0.1,0.159,26,0.248,0.012,0.246,18.807,112.237,112.237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.083,0.0,0.062,0.097,1.905,65.0,0.1,0.169,35,0.221,0.01,0.328,18.807,112.237,112.237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.007,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
0.08,0.0,0.034,0.096,1.714,80.0,0.1,0.138,39,0.275,0.008,0.255,18.807,112.237,112.237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.01,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
0.08,0.0,0.036,0.092,1.645,114.0,0.1,0.096,42,0.358,0.007,0.226,18.807,112.237,112.237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.005,0.01,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
0.081,0.0,0.053,0.092,1.627,127.0,0.1,0.087,47,0.322,0.006,0.203,18.807,112.237,112.237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.005,0.01,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
0.081,0.0,0.058,0.092,1.462,158.0,0.1,0.07,47,0.322,0.006,0.203,18.807,112.237,112.237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.005,0.01,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
